landuse_class,imperv_pct,n_imperv,n_perv,dstore_imperv_in,dstore_perv_in,zero_imperv_pct,route_to,pct_routed,notes
Commercial,85,0.013,0.25,0.05,0.10,30,OUTLET,100,"Highly impervious; adjust if zoning includes parking/green space"
Public,55,0.015,0.25,0.05,0.10,25,OUTLET,100,"Mixed (buildings+roads+lawns)"
Recreation and Open Space,15,0.015,0.30,0.05,0.12,10,OUTLET,100,"Parks/fields: mostly pervious"
Natural Park Zone,5,0.015,0.35,0.05,0.15,5,OUTLET,100,"Forest/natural"
Park,15,0.015,0.30,0.05,0.12,10,OUTLET,100,"Open-space park (alias of Recreation and Open Space)"
Rural,25,0.015,0.30,0.05,0.12,10,OUTLET,100,"Rural: mixed pervious with some imperv"
Agricultural,15,0.015,0.30,0.05,0.12,10,OUTLET,100,"Cropland / pasture"
Single Family,35,0.014,0.25,0.05,0.10,20,OUTLET,100,"Detached residential: roofs+driveways+lawns"
Multi-Family,55,0.013,0.25,0.05,0.10,25,OUTLET,100,"Townhouses / low-rise apartments"
Residential,40,0.014,0.25,0.05,0.10,20,OUTLET,100,"Generic residential when zoning lacks subtype"
Industrial,80,0.013,0.25,0.05,0.10,30,OUTLET,100,"Heavy impervious: warehouses, yards"
Institutional,60,0.014,0.25,0.05,0.10,25,OUTLET,100,"Schools/hospitals/civic"
Mixed Use,65,0.014,0.25,0.05,0.10,25,OUTLET,100,"Commercial + residential mix"
DEFAULT,25,0.015,0.30,0.05,0.12,10,OUTLET,100,"Fallback"
